Transaction_number,1,2,3,4,5,6,7,8,9
2372,whole milk,,,,,,,,
2373,sausage,pork,berries,other vegetables,whole milk,rolls/buns,brown bread,roll products ,margarine
2374,white bread,flour,oil,sugar,coffee,bottled water,salty snack,,
2375,rolls/buns,bottled water,,,,,,,
2376,bottled water,,,,,,,,
2377,other vegetables,soda,bottled beer,shopping bags,,,,,
2378,frankfurter,rolls/buns,napkins,,,,,,
2379,frankfurter,rolls/buns,salt,canned beer,newspapers,,,,
2380,frankfurter,butter,rolls/buns,semi-finished bread,misc. beverages,shopping bags,,,
2381,rolls/buns,pastry,soda,,,,,,
2382,sausage,coffee,bottled water,,,,,,
2383,brown bread,bottled water,bottled beer,,,,,,
2384,UHT-milk,margarine,bottled water,soda,,,,,
2385,pip fruit,yogurt,,,,,,,
2386,whole milk,coffee,,,,,,,
2387,processed cheese,,,,,,,,
2388,hamburger meat,root vegetables,other vegetables,whole milk,rolls/buns,zwieback,margarine,flower (seeds),
2389,beef,root vegetables,herbs,curd,rolls/buns,bottled beer,,,
2390,whole milk,brown bread,bottled beer,,,,,,
2391,hamburger meat,citrus fruit,other vegetables,whole milk,curd,yogurt,misc. beverages,,
2392,pasta,fruit/vegetable juice,,,,,,,
2393,tropical fruit,butter,brown bread,,,,,,
2394,whole milk,bottled water,,,,,,,
2395,sausage,,,,,,,,
2396,rolls/buns,soda,specialty bar,,,,,,
2397,sliced cheese,rolls/buns,canned beer,,,,,,
2398,rolls/buns,fruit/vegetable juice,long life bakery product,newspapers,,,,,
2399,sausage,,,,,,,,
2400,pastry,fruit/vegetable juice,,,,,,,
2401,rolls/buns,soda,,,,,,,
2402,pork,beef,whole milk,condensed milk,domestic eggs,fruit/vegetable juice,sparkling wine,salty snack,waffles
2403,other vegetables,UHT-milk,rolls/buns,pastry,bottled water,soda,,,
2404,domestic eggs,soda,,,,,,,
2405,ham,beef,citrus fruit,tropical fruit,cream cheese ,bottled water,newspapers,,
2406,soda,canned beer,,,,,,,
2407,specialty chocolate,,,,,,,,
2408,pork,,,,,,,,
2409,other vegetables,,,,,,,,
2410,onions,whole milk,butter,frozen fish,,,,,
2411,tropical fruit,rolls/buns,bottled water,,,,,,
2412,pip fruit,whole milk,curd,whipped/sour cream,salt,,,,
2413,sausage,hamburger meat,tropical fruit,cream cheese ,fruit/vegetable juice,,,,
2414,rolls/buns,,,,,,,,
2415,hamburger meat,root vegetables,other vegetables,roll products ,,,,,
2416,citrus fruit,tropical fruit,pip fruit,pastry,coffee,chocolate,,,
2417,whole milk,yogurt,frozen potato products,brown bread,napkins,,,,
2418,root vegetables,other vegetables,,,,,,,
2419,chewing gum,,,,,,,,
2420,beef,root vegetables,,,,,,,
2421,rolls/buns,,,,,,,,
2422,citrus fruit,shopping bags,,,,,,,
2423,snack products,chocolate,,,,,,,
2424,sausage,ham,chicken,turkey,cake bar,,,,
2425,mustard,,,,,,,,
2426,sausage,pork,soda,,,,,,
2427,frozen meals,frozen fish,chocolate,,,,,,
2428,sausage,citrus fruit,other vegetables,yogurt,hard cheese,pastry,canned vegetables,soda,
2429,spread cheese,rolls/buns,,,,,,,
2430,sausage,rolls/buns,soda,,,,,,
2431,herbs,whole milk,,,,,,,
2432,tropical fruit,other vegetables,,,,,,,
2433,frankfurter,meat,hamburger meat,citrus fruit,whole milk,cream cheese ,domestic eggs,pastry,dishes
2434,domestic eggs,margarine,bottled water,,,,,,
2435,sausage,other vegetables,,,,,,,
2436,citrus fruit,tropical fruit,other vegetables,whole milk,yogurt,specialty cheese,,,
2437,pip fruit,root vegetables,butter milk,frozen vegetables,rolls/buns,misc. beverages,fruit/vegetable juice,newspapers,pot plants
2438,onions,yogurt,flour,sugar,bottled water,fruit/vegetable juice,red/blush wine,hair spray,
2439,frankfurter,domestic eggs,rolls/buns,,,,,,
2440,shopping bags,,,,,,,,
2441,bottled beer,,,,,,,,
2442,frankfurter,root vegetables,onions,condensed milk,mayonnaise,frozen vegetables,Instant food products,,
2443,whole milk,spread cheese,,,,,,,
2444,soda,hygiene articles,napkins,,,,,,
2445,beef,herbs,other vegetables,whole milk,dessert,yogurt,whipped/sour cream,mayonnaise,domestic eggs
2446,bottled water,chocolate,,,,,,,
2447,sausage,,,,,,,,
2448,ice cream,,,,,,,,
2449,tropical fruit,cat food,bottled water,soda,bottled beer,white wine,hygiene articles,,
2450,whole milk,frozen vegetables,,,,,,,
2451,yogurt,pastry,canned beer,red/blush wine,,,,,
2452,herbs,misc. beverages,shopping bags,,,,,,
2453,whole milk,tea,bottled beer,napkins,cling film/bags,,,,
2454,meat,curd,white bread,,,,,,
2455,frankfurter,pip fruit,other vegetables,whole milk,butter,yogurt,fruit/vegetable juice,shopping bags,
2456,citrus fruit,whole milk,yogurt,softener,hygiene articles,,,,
2457,canned beer,candy,,,,,,,
2458,chicken,soda,canned beer,liquor (appetizer),newspapers,,,,
2459,yogurt,waffles,,,,,,,
2460,beef,yogurt,spread cheese,margarine,salty snack,,,,
2461,whipped/sour cream,candy,,,,,,,
2462,pip fruit,root vegetables,whole milk,whipped/sour cream,processed cheese,white bread,flour,fruit/vegetable juice,napkins
2463,frankfurter,whole milk,rolls/buns,pastry,soda,specialty chocolate,,,
2464,soda,,,,,,,,
2465,pip fruit,yogurt,bottled water,canned beer,chewing gum,napkins,,,
2466,citrus fruit,tropical fruit,whipped/sour cream,rolls/buns,candy,newspapers,,,
2467,whole milk,,,,,,,,
2468,root vegetables,onions,other vegetables,whole milk,whipped/sour cream,specialty cheese,frozen meals,rolls/buns,white bread
2469,sausage,whipped/sour cream,white bread,baking powder,,,,,
2470,liver loaf,ham,pip fruit,root vegetables,other vegetables,whole milk,curd,dessert,butter milk
2471,soda,,,,,,,,
2472,root vegetables,liquor,shopping bags,,,,,,
2473,other vegetables,cream cheese ,white bread,jam,coffee,bottled water,soda,fruit/vegetable juice,canned beer
2474,tropical fruit,whole milk,spread cheese,cat food,coffee,bottled water,soda,misc. beverages,fruit/vegetable juice
2475,butter,oil,cling film/bags,,,,,,
2476,sausage,pip fruit,hard cheese,rolls/buns,soda,,,,
2477,butter,,,,,,,,
2478,whole milk,brown bread,chocolate,house keeping products,newspapers,,,,
2479,other vegetables,whole milk,whipped/sour cream,specialty cheese,white bread,cat food,bottled water,,
2480,whole milk,yogurt,pastry,soda,misc. beverages,shopping bags,,,
2481,white bread,,,,,,,,
2482,pork,,,,,,,,
2483,whipped/sour cream,sliced cheese,frozen dessert,hygiene articles,napkins,,,,
2484,yogurt,frozen fish,ice cream,,,,,,
2485,butter milk,tea,fruit/vegetable juice,bottled beer,red/blush wine,shopping bags,,,
2486,yogurt,whipped/sour cream,hard cheese,ketchup,,,,,
2487,other vegetables,whole milk,coffee,,,,,,
2488,pastry,,,,,,,,
2489,yogurt,rolls/buns,misc. beverages,,,,,,
2490,citrus fruit,whole milk,butter,yogurt,zwieback,jam,dishes,,
2491,condensed milk,coffee,,,,,,,
2492,root vegetables,pastry,,,,,,,
2493,other vegetables,oil,,,,,,,
2494,citrus fruit,rolls/buns,snack products,,,,,,
2495,frankfurter,photo/film,,,,,,,
2496,sausage,,,,,,,,
2497,other vegetables,,,,,,,,
2498,herbs,,,,,,,,
2499,ham,pip fruit,other vegetables,cream cheese ,pastry,bottled beer,,,
2500,root vegetables,yogurt,beverages,flour,,,,,
2501,soda,,,,,,,,
2502,sausage,beef,hamburger meat,yogurt,soft cheese,cream cheese ,domestic eggs,rolls/buns,pastry
2503,frankfurter,pip fruit,frozen vegetables,fruit/vegetable juice,nut snack,,,,
2504,bottled water,,,,,,,,
2505,meat,citrus fruit,whole milk,spread cheese,,,,,
2506,ham,root vegetables,butter,bottled water,white wine,,,,
2507,sugar,canned beer,,,,,,,
2508,chicken,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,,,
2509,UHT-milk,domestic eggs,sugar,fruit/vegetable juice,newspapers,,,,
2510,beef,yogurt,rolls/buns,cat food,napkins,dishes,newspapers,,
2511,ham,domestic eggs,brown bread,bottled water,chocolate marshmallow,seasonal products,napkins,newspapers,
2512,rolls/buns,zwieback,chocolate marshmallow,dishes,,,,,
2513,citrus fruit,yogurt,pastry,salt,margarine,specialty fat,cat food,specialty bar,dish cleaner
2514,citrus fruit,tropical fruit,whole milk,yogurt,rolls/buns,pastry,semi-finished bread,bottled beer,napkins
2515,cat food,coffee,,,,,,,
2516,hard cheese,honey,candy,,,,,,
2517,frankfurter,other vegetables,whole milk,yogurt,cream cheese ,rolls/buns,pastry,coffee,
2518,bottled beer,,,,,,,,
2519,yogurt,spread cheese,rolls/buns,soda,canned beer,shopping bags,,,
2520,frankfurter,sausage,chicken,other vegetables,frozen meals,salt,sugar,soups,coffee
2521,rolls/buns,soda,newspapers,,,,,,
2522,whole milk,beverages,bottled water,soda,cake bar,newspapers,,,
2523,meat,beef,onions,white wine,dishes,,,,
2524,curd,napkins,,,,,,,
2525,beverages,white bread,pastry,newspapers,shopping bags,,,,
2526,frankfurter,whole milk,UHT-milk,hard cheese,mayonnaise,rolls/buns,brown bread,margarine,newspapers
2527,sausage,pork,beef,root vegetables,butter,yogurt,spread cheese,rolls/buns,brown bread
2528,sausage,pip fruit,whole milk,rolls/buns,soda,chewing gum,shopping bags,,
2529,meat,other vegetables,,,,,,,
2530,sausage,tropical fruit,pip fruit,rolls/buns,pastry,margarine,,,
2531,whole milk,rolls/buns,pastry,,,,,,
2532,canned beer,,,,,,,,
2533,frankfurter,citrus fruit,tropical fruit,pip fruit,other vegetables,whole milk,curd,yogurt,whipped/sour cream
2534,long life bakery product,,,,,,,,
2535,pork,butter,hard cheese,cream cheese ,,,,,
2536,pip fruit,other vegetables,whole milk,butter,curd,rolls/buns,margarine,baking powder,bottled water
2537,bottled beer,,,,,,,,
2538,pork,tropical fruit,root vegetables,onions,other vegetables,shopping bags,,,
2539,bottled water,white wine,newspapers,,,,,,
2540,whole milk,domestic eggs,brown bread,photo/film,,,,,
2541,curd,dessert,soda,fruit/vegetable juice,candy,hygiene articles,shopping bags,,
2542,tropical fruit,pip fruit,UHT-milk,rolls/buns,pastry,salt,,,
2543,pip fruit,other vegetables,whole milk,yogurt,brown bread,pastry,,,
2544,chicken,beef,tropical fruit,root vegetables,onions,other vegetables,pickled vegetables,canned fish,bottled water
2545,whole milk,newspapers,,,,,,,
2546,citrus fruit,other vegetables,yogurt,spread cheese,rolls/buns,soda,chocolate,newspapers,
2547,canned beer,,,,,,,,
2548,pip fruit,nuts/prunes,root vegetables,condensed milk,rolls/buns,pickled vegetables,coffee,canned beer,liquor (appetizer)
2549,photo/film,,,,,,,,
2550,root vegetables,other vegetables,frozen vegetables,,,,,,
2551,frankfurter,tropical fruit,root vegetables,whole milk,butter,curd,yogurt,,
2552,yogurt,white wine,red/blush wine,,,,,,
2553,UHT-milk,ice cream,domestic eggs,oil,soda,cling film/bags,,,
2554,organic sausage,chicken,citrus fruit,grapes,other vegetables,butter,yogurt,whipped/sour cream,rolls/buns
2555,whole milk,whipped/sour cream,,,,,,,
2556,meat,root vegetables,whole milk,newspapers,,,,,
2557,pork,,,,,,,,
2558,coffee,,,,,,,,
2559,soft cheese,hard cheese,bottled water,soda,liquor (appetizer),waffles,chocolate,candles,
2560,sausage,other vegetables,yogurt,mayonnaise,rolls/buns,bottled water,soda,canned beer,shopping bags
2561,sausage,citrus fruit,pip fruit,whole milk,cream cheese ,tidbits,domestic eggs,pastry,sugar
2562,finished products,misc. beverages,,,,,,,
2563,whole milk,frozen meals,rolls/buns,margarine,,,,,
2564,curd,yogurt,,,,,,,
2565,coffee,fruit/vegetable juice,,,,,,,
2566,tropical fruit,herbs,whole milk,yogurt,whipped/sour cream,soda,,,
2567,soda,,,,,,,,
2568,whole milk,curd,brown bread,,,,,,
2569,bottled beer,,,,,,,,
2570,oil,,,,,,,,
2571,hamburger meat,tropical fruit,,,,,,,
2572,yogurt,rolls/buns,meat spreads,soda,,,,,
2573,pork,citrus fruit,,,,,,,
2574,frankfurter,pip fruit,root vegetables,other vegetables,whole milk,soft cheese,cream cheese ,frozen vegetables,salt
2575,sausage,soda,liquor (appetizer),shopping bags,,,,,
2576,canned beer,,,,,,,,
2577,frankfurter,root vegetables,whole milk,frozen vegetables,coffee,soda,long life bakery product,napkins,house keeping products
2578,beef,citrus fruit,whole milk,,,,,,
2579,yogurt,UHT-milk,rolls/buns,candles,,,,,
2580,long life bakery product,,,,,,,,
2581,other vegetables,butter,yogurt,rolls/buns,pastry,margarine,,,
2582,pastry,,,,,,,,
2583,sausage,citrus fruit,whole milk,yogurt,beverages,pasta,waffles,specialty chocolate,
2584,canned beer,,,,,,,,
2585,sausage,citrus fruit,other vegetables,hard cheese,cream cheese ,frozen dessert,artif. sweetener,coffee,cling film/bags
2586,canned beer,,,,,,,,
2587,finished products,soda,specialty chocolate,,,,,,
2588,other vegetables,whole milk,yogurt,specialty cheese,bottled water,misc. beverages,fruit/vegetable juice,,
2589,pork,other vegetables,rolls/buns,,,,,,
2590,beef,root vegetables,other vegetables,whole milk,domestic eggs,hygiene articles,,,
2591,specialty bar,,,,,,,,
2592,canned beer,,,,,,,,
2593,bottled beer,,,,,,,,
2594,ham,citrus fruit,root vegetables,whipped/sour cream,canned beer,napkins,,,
2595,tropical fruit,whole milk,,,,,,,
2596,chicken,sugar,photo/film,,,,,,
2597,pork,hamburger meat,pip fruit,herbs,other vegetables,whole milk,butter,sliced cheese,processed cheese
2598,yogurt,,,,,,,,
2599,chicken,other vegetables,bottled water,chewing gum,softener,,,,
2600,sausage,ham,pip fruit,whole milk,butter milk,yogurt,hard cheese,spread cheese,rolls/buns
2601,hard cheese,white bread,brown bread,,,,,,
2602,long life bakery product,,,,,,,,
2603,chicken,,,,,,,,
2604,frankfurter,beef,citrus fruit,whole milk,rolls/buns,semi-finished bread,coffee,bottled beer,
2605,pastry,mustard,bottled beer,,,,,,
2606,shopping bags,,,,,,,,
2607,tropical fruit,rolls/buns,pastry,,,,,,
2608,frozen meals,rolls/buns,bottled beer,,,,,,
2609,whole milk,,,,,,,,
2610,pork,sugar,newspapers,,,,,,
2611,hamburger meat,pip fruit,whole milk,hard cheese,chocolate,,,,
2612,other vegetables,pastry,candy,napkins,,,,,
2613,domestic eggs,rolls/buns,,,,,,,
2614,hamburger meat,hard cheese,frozen vegetables,soda,,,,,
2615,berries,root vegetables,whole milk,curd,frozen fish,domestic eggs,rolls/buns,,
2616,pastry,soda,,,,,,,
2617,sausage,yogurt,rolls/buns,soda,,,,,
2618,frozen vegetables,,,,,,,,
2619,dessert,rolls/buns,sugar,bottled water,,,,,
2620,pip fruit,whole milk,domestic eggs,,,,,,
2621,liver loaf,beef,onions,specialty chocolate,napkins,shopping bags,,,
2622,root vegetables,whole milk,rolls/buns,specialty chocolate,,,,,
2623,root vegetables,yogurt,pastry,,,,,,
2624,other vegetables,rolls/buns,soda,,,,,,
2625,chicken,pip fruit,whole milk,pastry,coffee,,,,
2626,rolls/buns,,,,,,,,
2627,butter milk,canned fish,,,,,,,
2628,butter milk,soft cheese,rolls/buns,,,,,,
2629,onions,other vegetables,specialty cheese,,,,,,
2630,ham,hamburger meat,other vegetables,whole milk,curd,mayonnaise,domestic eggs,rolls/buns,margarine
2631,coffee,,,,,,,,
2632,chicken,other vegetables,whole milk,yogurt,frozen vegetables,coffee,bottled beer,red/blush wine,
2633,whole milk,curd,dessert,shopping bags,,,,,
2634,frankfurter,hamburger meat,tropical fruit,root vegetables,domestic eggs,Instant food products,detergent,,
2635,citrus fruit,pip fruit,whole milk,curd,whipped/sour cream,bottled water,bottled beer,specialty chocolate,shopping bags
2636,tropical fruit,whole milk,cat food,popcorn,specialty bar,,,,
2637,citrus fruit,other vegetables,butter,brown bread,baking powder,bottled water,soda,,
2638,whole milk,,,,,,,,
2639,canned beer,,,,,,,,
2640,canned beer,,,,,,,,
2641,citrus fruit,rolls/buns,pastry,soda,pot plants,shopping bags,,,
2642,chicken,onions,other vegetables,whole milk,frozen fish,brown bread,soda,white wine,
2643,canned beer,,,,,,,,
2644,sugar,bottled water,white wine,,,,,,
2645,pork,tropical fruit,whole milk,curd,frozen meals,domestic eggs,margarine,pickled vegetables,soda
2646,rolls/buns,soda,waffles,chewing gum,,,,,
2647,whole milk,frozen vegetables,rolls/buns,pastry,kitchen towels,newspapers,,,
2648,rolls/buns,brown bread,fruit/vegetable juice,newspapers,,,,,
2649,mayonnaise,rolls/buns,,,,,,,
2650,rolls/buns,,,,,,,,
2651,pork,frozen vegetables,pastry,misc. beverages,,,,,
2652,citrus fruit,other vegetables,whole milk,flour,,,,,
2653,beverages,,,,,,,,
2654,napkins,,,,,,,,
2655,canned beer,,,,,,,,
2656,soda,chewing gum,newspapers,photo/film,,,,,
2657,bottled beer,liquor (appetizer),dishes,,,,,,
2658,sausage,pork,beef,hamburger meat,grapes,root vegetables,other vegetables,dessert,rolls/buns
2659,sausage,bottled beer,dish cleaner,,,,,,
2660,rolls/buns,canned beer,,,,,,,
2661,tropical fruit,grapes,UHT-milk,pickled vegetables,jam,coffee,salty snack,,
2662,frankfurter,pork,root vegetables,whole milk,yogurt,frozen fish,soda,,
2663,sausage,citrus fruit,berries,other vegetables,hard cheese,rolls/buns,bottled water,,
2664,sausage,butter milk,rolls/buns,bottled water,soda,canned beer,shopping bags,,
2665,whole milk,rolls/buns,,,,,,,
2666,root vegetables,herbs,whole milk,butter milk,cream cheese ,waffles,napkins,newspapers,
2667,sausage,rolls/buns,brandy,,,,,,
2668,root vegetables,other vegetables,whole milk,butter,mustard,bottled water,flower (seeds),,
2669,tropical fruit,candy,,,,,,,
2670,hamburger meat,fruit/vegetable juice,canned beer,white wine,,,,,
2671,meat,whole milk,yogurt,soda,male cosmetics,,,,
2672,soda,,,,,,,,
2673,frankfurter,white bread,margarine,shopping bags,,,,,
2674,other vegetables,,,,,,,,
2675,whole milk,fruit/vegetable juice,,,,,,,
2676,pastry,newspapers,,,,,,,
2677,canned beer,salty snack,,,,,,,
2678,canned beer,,,,,,,,
2679,condensed milk,coffee,,,,,,,
2680,ham,citrus fruit,tropical fruit,whole milk,yogurt,whipped/sour cream,soda,,
2681,cream cheese ,,,,,,,,
2682,pork,root vegetables,onions,other vegetables,margarine,sugar,spices,,
2683,pastry,soda,,,,,,,
2684,citrus fruit,pip fruit,root vegetables,onions,herbs,other vegetables,whole milk,butter,processed cheese
2685,meat,finished products,white bread,long life bakery product,shopping bags,,,,
2686,soda,fruit/vegetable juice,specialty bar,,,,,,
2687,yogurt,cream cheese ,rolls/buns,chocolate,,,,,
2688,whipped/sour cream,domestic eggs,margarine,,,,,,
2689,sausage,other vegetables,yogurt,bottled water,soda,canned beer,shopping bags,,
2690,canned beer,,,,,,,,
2691,root vegetables,other vegetables,photo/film,,,,,,
2692,pastry,soda,,,,,,,
2693,rolls/buns,coffee,red/blush wine,chewing gum,,,,,
2694,rolls/buns,,,,,,,,
2695,frankfurter,sausage,pip fruit,other vegetables,rolls/buns,sweet spreads,chocolate,,
2696,sausage,yogurt,rolls/buns,pastry,dog food,soda,,,
2697,liquor,,,,,,,,
2698,yogurt,rolls/buns,,,,,,,
2699,frankfurter,rolls/buns,brown bread,shopping bags,,,,,
2700,ham,pork,other vegetables,whole milk,frozen vegetables,rolls/buns,rum,,
2701,chocolate,,,,,,,,
2702,bottled beer,newspapers,,,,,,,
2703,chicken,citrus fruit,tropical fruit,other vegetables,whole milk,whipped/sour cream,rolls/buns,pastry,flour
2704,specialty cheese,hygiene articles,newspapers,shopping bags,,,,,
2705,frankfurter,sausage,citrus fruit,root vegetables,other vegetables,whole milk,yogurt,whipped/sour cream,frozen vegetables
2706,pip fruit,bottled beer,,,,,,,
2707,canned beer,,,,,,,,
2708,pork,other vegetables,soda,,,,,,
2709,canned beer,,,,,,,,
2710,beef,root vegetables,other vegetables,whole milk,dessert,yogurt,rolls/buns,margarine,jam
2711,rolls/buns,pastry,,,,,,,
2712,dental care,male cosmetics,,,,,,,
2713,sausage,turkey,beef,citrus fruit,herbs,flour,margarine,Instant food products,bottled water
2714,rolls/buns,soda,,,,,,,
2715,whole milk,pastry,soda,,,,,,
2716,beef,tropical fruit,root vegetables,whole milk,,,,,
2717,ham,whole milk,domestic eggs,tea,bottled water,bottled beer,,,
2718,finished products,chicken,pork,beef,hamburger meat,berries,butter,domestic eggs,rolls/buns
2719,dessert,beverages,ice cream,soda,,,,,
2720,rolls/buns,bottled water,bottled beer,,,,,,
2721,sausage,liver loaf,misc. beverages,fruit/vegetable juice,canned beer,salty snack,shopping bags,,
2722,citrus fruit,soda,misc. beverages,canned beer,chocolate,specialty chocolate,candy,shopping bags,
2723,whole milk,frozen vegetables,,,,,,,
2724,whole milk,curd,margarine,,,,,,
2725,sausage,yogurt,cream,,,,,,
2726,root vegetables,whole milk,oil,mustard,fruit/vegetable juice,waffles,dishes,shopping bags,
2727,organic sausage,rolls/buns,,,,,,,
2728,pork,tropical fruit,other vegetables,coffee,shopping bags,,,,
2729,dessert,yogurt,rolls/buns,meat spreads,bottled water,soda,chocolate,shopping bags,
2730,canned beer,,,,,,,,
2731,citrus fruit,root vegetables,other vegetables,whipped/sour cream,processed cheese,rolls/buns,newspapers,,
2732,hamburger meat,root vegetables,frozen vegetables,rolls/buns,brown bread,margarine,soda,fruit/vegetable juice,white wine
2733,citrus fruit,tropical fruit,pip fruit,grapes,berries,root vegetables,other vegetables,beverages,Instant food products
2734,other vegetables,,,,,,,,
2735,canned beer,,,,,,,,
2736,rolls/buns,canned fruit,,,,,,,
2737,ham,other vegetables,condensed milk,domestic eggs,salty snack,,,,
2738,beverages,waffles,,,,,,,
2739,whole milk,brown bread,pastry,,,,,,
2740,canned beer,,,,,,,,
2741,frankfurter,sausage,whole milk,margarine,sauces,chocolate,,,
2742,whole milk,frozen dessert,margarine,snack products,,,,,
2743,citrus fruit,,,,,,,,
2744,frankfurter,pork,herbs,other vegetables,butter,rolls/buns,,,
2745,frankfurter,sausage,other vegetables,whole milk,butter,curd,dessert,yogurt,brown bread
2746,yogurt,beverages,bottled beer,dishes,,,,,
2747,whipped/sour cream,condensed milk,domestic eggs,flour,oil,sugar,,,
2748,candy,,,,,,,,
2749,frankfurter,rolls/buns,,,,,,,
2750,chicken,beef,pip fruit,berries,other vegetables,whole milk,whipped/sour cream,frozen fruits,frozen meals
2751,sausage,rolls/buns,,,,,,,
2752,brown bread,,,,,,,,
2753,pip fruit,other vegetables,whole milk,whipped/sour cream,coffee,,,,
2754,bottled water,long life bakery product,,,,,,,
2755,chicken,UHT-milk,frozen vegetables,ice cream,pickled vegetables,bottled beer,newspapers,shopping bags,
2756,sausage,tropical fruit,other vegetables,butter,sliced cheese,domestic eggs,rolls/buns,brown bread,napkins
2757,chicken,pork,butter,candles,,,,,
2758,pork,yogurt,beverages,frozen vegetables,frozen meals,rolls/buns,potato products,bottled beer,chocolate marshmallow
2759,ham,rolls/buns,soda,shopping bags,,,,,
2760,citrus fruit,root vegetables,domestic eggs,margarine,dishes,,,,
2761,rolls/buns,pastry,pasta,soda,fruit/vegetable juice,specialty chocolate,,,
2762,tropical fruit,nuts/prunes,whole milk,whipped/sour cream,waffles,newspapers,,,
2763,other vegetables,whole milk,whipped/sour cream,condensed milk,rolls/buns,shopping bags,,,
2764,other vegetables,white bread,newspapers,,,,,,
2765,photo/film,,,,,,,,
2766,pork,tropical fruit,root vegetables,whipped/sour cream,UHT-milk,frozen vegetables,roll products ,oil,bottled water
2767,pastry,sugar,mustard,chewing gum,shopping bags,,,,
2768,frankfurter,,,,,,,,
2769,rolls/buns,soda,,,,,,,
2770,berries,cookware,flower (seeds),,,,,,
2771,photo/film,shopping bags,,,,,,,
2772,photo/film,,,,,,,,
2773,whole milk,butter,curd,frozen vegetables,bottled water,bottled beer,detergent,pot plants,shopping bags
2774,waffles,,,,,,,,
2775,sausage,sliced cheese,cream cheese ,candy,shopping bags,,,,
2776,hamburger meat,other vegetables,margarine,sugar,baking powder,sweet spreads,fruit/vegetable juice,chewing gum,specialty bar
2777,canned beer,,,,,,,,
2778,other vegetables,specialty cheese,,,,,,,
2779,chicken,whole milk,frozen vegetables,brown bread,sugar,dog food,,,
2780,ice cream,chewing gum,,,,,,,
2781,pork,tropical fruit,root vegetables,herbs,whole milk,butter,domestic eggs,rolls/buns,baking powder
2782,citrus fruit,pip fruit,other vegetables,whole milk,butter,yogurt,salt,,
2783,frozen meals,pastry,pasta,,,,,,
2784,ham,meat,chicken,tropical fruit,berries,soft cheese,specialty cheese,long life bakery product,flower (seeds)
2785,hamburger meat,hard cheese,pasta,canned vegetables,,,,,
2786,soda,misc. beverages,sparkling wine,chewing gum,specialty chocolate,shopping bags,,,
2787,frankfurter,root vegetables,,,,,,,
2788,canned beer,,,,,,,,
2789,frozen meals,soda,shopping bags,,,,,,
2790,whole milk,,,,,,,,
2791,misc. beverages,,,,,,,,
2792,canned beer,,,,,,,,
2793,root vegetables,,,,,,,,
2794,sausage,onions,,,,,,,
2795,canned beer,male cosmetics,,,,,,,
2796,tropical fruit,onions,spread cheese,coffee,canned beer,liquor (appetizer),red/blush wine,dental care,light bulbs
2797,pastry,soda,,,,,,,
2798,sausage,ham,dessert,,,,,,
2799,canned beer,,,,,,,,
2800,soda,,,,,,,,
2801,canned beer,newspapers,,,,,,,
2802,cat food,waffles,,,,,,,
2803,sausage,meat,pork,root vegetables,other vegetables,sliced cheese,margarine,cat food,coffee
2804,bottled water,soda,,,,,,,
2805,soda,chocolate,,,,,,,
2806,rolls/buns,,,,,,,,
2807,pork,,,,,,,,
2808,frozen meals,,,,,,,,
2809,soda,,,,,,,,
2810,pastry,soda,,,,,,,
2811,shopping bags,,,,,,,,
2812,brown bread,bottled water,,,,,,,
2813,yogurt,,,,,,,,
2814,bottled beer,,,,,,,,
2815,pip fruit,whole milk,rolls/buns,pickled vegetables,waffles,,,,
2816,hamburger meat,other vegetables,frozen vegetables,frozen meals,cat food,fruit/vegetable juice,,,
2817,long life bakery product,pot plants,,,,,,,
2818,ham,whipped/sour cream,beverages,domestic eggs,fruit/vegetable juice,,,,
2819,butter,napkins,,,,,,,
2820,whole milk,seasonal products,shopping bags,,,,,,
2821,dessert,,,,,,,,
2822,photo/film,,,,,,,,
2823,bags,,,,,,,,
2824,rolls/buns,brown bread,,,,,,,
2825,brown bread,bottled water,soda,fruit/vegetable juice,bottled beer,newspapers,photo/film,,
2826,beef,root vegetables,other vegetables,margarine,salty snack,waffles,specialty chocolate,kitchen towels,newspapers
2827,dessert,soft cheese,rolls/buns,,,,,,
2828,misc. beverages,,,,,,,,
2829,sugar,,,,,,,,
2830,sausage,rolls/buns,soda,chocolate,,,,,
2831,whole milk,canned fish,newspapers,,,,,,
2832,sausage,finished products,beverages,domestic eggs,pastry,salty snack,,,
2833,canned beer,,,,,,,,
2834,citrus fruit,tropical fruit,frozen meals,frozen dessert,rolls/buns,misc. beverages,,,
2835,sausage,bottled beer,liquor,red/blush wine,,,,,
2836,whole milk,newspapers,,,,,,,
2837,pip fruit,whole milk,pastry,waffles,cake bar,specialty bar,shopping bags,,
2838,frankfurter,bottled beer,,,,,,,
2839,citrus fruit,whole milk,,,,,,,
2840,misc. beverages,,,,,,,,
2841,frankfurter,beef,brown bread,margarine,soda,candy,,,
2842,chocolate,napkins,,,,,,,
2843,ham,tropical fruit,pip fruit,grapes,berries,other vegetables,curd,dessert,yogurt
2844,frankfurter,brown bread,bottled beer,,,,,,
2845,brown bread,,,,,,,,
2846,rolls/buns,white bread,waffles,,,,,,
2847,pip fruit,zwieback,salty snack,cake bar,specialty bar,,,,
2848,sausage,root vegetables,whole milk,rolls/buns,brown bread,margarine,soda,long life bakery product,cake bar
2849,root vegetables,whole milk,rolls/buns,,,,,,
